song,rank,artist,last_week,peak_position,weeks_on_chart,saturday
Get It Sexyy,24,Sexyy Red,32,20,11,2024-06-08
Austin,25,Dasha,34,25,12,2024-06-08
Feather,26,Sabrina Carpenter,28,21,26,2024-06-08
Wildflower,27,Billie Eilish,17,17,2,2024-06-08
Yeah Glo!,28,GloRilla,33,28,16,2024-06-08
Ain't No Love In Oklahoma,29,Luke Combs,23,23,2,2024-06-08
I Can Do It With A Broken Heart,30,Taylor Swift,26,3,6,2024-06-08
"Good Luck, Babe!",31,Chappell Roan,43,31,8,2024-06-08
Gata Only,32,FloyyMenor X Cris Mj,46,27,11,2024-06-08
Where It Ends,33,Bailey Zimmerman,35,32,22,2024-06-08
L'amour De Ma Vie,34,Billie Eilish,22,22,2,2024-06-08
Greedy,35,Tate McRae,38,3,37,2024-06-08
I Like The Way You Kiss Me,36,Artemas,39,12,10,2024-06-08
End Of Beginning,37,Djo,41,11,15,2024-06-08
Type Shit,38,"Future, Metro Boomin, Travis Scott & Playboi Carti",40,2,10,2024-06-08
Wanna Be,39,GloRilla & Megan Thee Stallion,50,11,8,2024-06-08
Bulletproof,40,Nate Smith,44,40,8,2024-06-08
Down Bad,41,Taylor Swift,30,2,6,2024-06-08
Agora Hills,42,Doja Cat,42,7,36,2024-06-08
Slow It Down,43,Benson Boone,51,40,10,2024-06-08
U My Everything,44,Sexyy Red & Drake,-,44,1,2024-06-08
One Of Wun,45,Gunna,37,26,3,2024-06-08
Whatever She Wants,46,Bryson Tiller,49,19,15,2024-06-08
Blue,47,Billie Eilish,25,25,2,2024-06-08
Texas Hold 'Em,48,Beyonce,52,1,16,2024-06-08
Think I'm In Love With You,49,Chris Stapleton,69,49,4,2024-06-08
The Greatest,50,Billie Eilish,24,24,2,2024-06-08
Stargazing,51,Myles Smith,79,51,3,2024-06-08
Sweet Dreams,52,Koe Wetzel,47,47,2,2024-06-08
Skinny,53,Billie Eilish,18,18,2,2024-06-08
Wild Ones,54,Jessie Murph & Jelly Roll,56,35,34,2024-06-08
Made For Me,55,Muni Long,61,20,20,2024-06-08
Redrum,56,21 Savage,53,5,20,2024-06-08
Halfway To Hell,57,Jelly Roll,60,57,8,2024-06-08
Who's Afraid Of Little Old Me?,58,Taylor Swift,45,9,6,2024-06-08
Family Matters,59,Drake,48,7,4,2024-06-08
FE!N,60,Travis Scott Featuring Playboi Carti,62,5,30,2024-06-08
Dirt Cheap,61,Cody Johnson,70,61,6,2024-06-08
The Diner,62,Billie Eilish,31,31,2,2024-06-08
Si No Quieres No,63,Luis R Conriquez x Neton Vega,72,63,4,2024-06-08
Guilty As Sin?,64,Taylor Swift,55,10,6,2024-06-08
But Daddy I Love Him,65,Taylor Swift,54,7,6,2024-06-08
Obsessed,66,Olivia Rodrigo,68,14,10,2024-06-08
Carnival,67,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,59,1,16,2024-06-08
"So Long, London",68,Taylor Swift,57,5,6,2024-06-08
We Ride,69,Bryan Martin,80,69,8,2024-06-08
Scared To Start,70,Michael Marcagi,73,54,15,2024-06-08
My Boy Only Breaks His Favorite Toys,71,Taylor Swift,58,6,6,2024-06-08
Si No Es Contigo,72,Cris Mj,-,72,1,2024-06-08
Bittersuite,73,Billie Eilish,36,36,2,2024-06-08
Enough (Miami),74,Cardi B,76,9,11,2024-06-08
